instance_name,n,linnear_bkv,linnear_opt,metaheurisitc_bvk,metaheurisitc_opt
instance_100_1.dat,100,0,1,0,1
instance_100_2.dat,100,0,1,0,1
instance_100_3.dat,100,0,1,0,1
instance_100_4.dat,100,0,1,0,1
instance_14.dat,14,0,1,0,1
instance_16.dat,16,0,1,0,1
instance_200_1.dat,200,0,1,0,1
instance_200_2.dat,200,0,1,0,1
instance_200_3.dat,200,0,1,0,1
instance_200_4.dat,200,0,1,0,1
instance_21.dat,21,0,1,0,1
instance_22.dat,22,0,1,0,1
instance_26.dat,26,0,1,0,1
instance_29.dat,29,0,1,0,1
instance_442_1.dat,442,0,1,0,1
instance_442_2.dat,442,0,1,0,1
instance_48.dat,48,0,1,0,1
